,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy
,open,high,low,close,volume,num_trds,value
2021-05-18 17:00:00-04:00,6.469,6.469,6.4681,6.4681,0,43,0.0
2021-05-18 17:01:00-04:00,6.4681,6.4681,6.4668,6.468,0,58,0.0
2021-05-18 17:02:00-04:00,6.468,6.4683,6.4672,6.4675,0,150,0.0
2021-05-18 17:03:00-04:00,6.4675,6.4678,6.4669,6.4672,0,94,0.0
2021-05-18 17:04:00-04:00,6.4672,6.4676,6.4668,6.4676,0,50,0.0
2021-05-18 17:05:00-04:00,6.4677,6.4678,6.4675,6.4675,0,72,0.0
2021-05-18 17:06:00-04:00,6.4675,6.4678,6.4675,6.4678,0,76,0.0
2021-05-18 17:07:00-04:00,6.4677,6.4677,6.4674,6.4674,0,12,0.0
2021-05-18 17:08:00-04:00,6.4674,6.4678,6.4674,6.4676,0,58,0.0
2021-05-18 17:09:00-04:00,6.4676,6.4682,6.4674,6.468,0,120,0.0
2021-05-18 17:10:00-04:00,6.468,6.4682,6.4674,6.4676,0,80,0.0
2021-05-18 17:11:00-04:00,6.4678,6.4683,6.4676,6.4681,0,104,0.0
2021-05-18 17:12:00-04:00,6.468,6.468,6.4674,6.4676,0,54,0.0
2021-05-18 17:13:00-04:00,6.4675,6.4676,6.4674,6.4676,0,12,0.0
2021-05-18 17:14:00-04:00,6.4675,6.4675,6.4672,6.4675,0,26,0.0
2021-05-18 17:15:00-04:00,6.4674,6.4678,6.4672,6.4675,0,80,0.0
2021-05-18 17:16:00-04:00,6.4674,6.4674,6.4672,6.4672,0,12,0.0
2021-05-18 17:17:00-04:00,6.4672,6.4672,6.4669,6.4669,0,32,0.0
2021-05-18 17:18:00-04:00,6.4669,6.4669,6.4664,6.4665,0,86,0.0
2021-05-18 17:19:00-04:00,6.4665,6.4665,6.4663,6.4665,0,44,0.0
2021-05-18 17:20:00-04:00,6.4665,6.4665,6.4663,6.4664,0,36,0.0
2021-05-18 17:21:00-04:00,6.4665,6.4673,6.4665,6.4667,0,76,0.0
2021-05-18 17:22:00-04:00,6.4667,6.4667,6.4664,6.4667,0,26,0.0
2021-05-18 17:23:00-04:00,6.4667,6.4667,6.4663,6.4664,0,44,0.0
2021-05-18 17:24:00-04:00,6.4666,6.4675,6.4665,6.467,0,66,0.0
2021-05-18 17:25:00-04:00,6.4669,6.4677,6.4663,6.4676,0,72,0.0
2021-05-18 17:26:00-04:00,6.4676,6.4679,6.4671,6.4679,0,36,0.0
2021-05-18 17:27:00-04:00,6.4679,6.4679,6.4679,6.4679,0,2,0.0
2021-05-18 17:28:00-04:00,6.4679,6.4679,6.4674,6.4674,0,14,0.0
2021-05-18 17:29:00-04:00,6.4674,6.4674,6.467,6.4674,0,16,0.0
2021-05-18 17:30:00-04:00,6.4674,6.4675,6.4674,6.4675,0,62,0.0
2021-05-18 17:31:00-04:00,6.4675,6.4675,6.4666,6.4667,0,120,0.0
2021-05-18 17:32:00-04:00,6.4664,6.4671,6.4662,6.4671,0,48,0.0
2021-05-18 17:33:00-04:00,6.467,6.4671,6.4665,6.4671,0,28,0.0
2021-05-18 17:34:00-04:00,6.467,6.4676,6.4665,6.467,0,68,0.0
2021-05-18 17:35:00-04:00,6.467,6.4676,6.467,6.4675,0,68,0.0
2021-05-18 17:37:00-04:00,6.4676,6.4676,6.4675,6.4675,0,20,0.0
2021-05-18 17:38:00-04:00,6.4674,6.4679,6.467,6.467,0,88,0.0
2021-05-18 17:39:00-04:00,6.467,6.4676,6.4668,6.4671,0,118,0.0
2021-05-18 17:40:00-04:00,6.4671,6.4678,6.467,6.4671,0,106,0.0
2021-05-18 17:41:00-04:00,6.4671,6.4672,6.467,6.467,0,96,0.0
2021-05-18 17:42:00-04:00,6.467,6.4671,6.4668,6.467,0,60,0.0
2021-05-18 17:43:00-04:00,6.4669,6.467,6.4669,6.467,0,8,0.0
2021-05-18 17:44:00-04:00,6.467,6.467,6.4669,6.4669,0,106,0.0
2021-05-18 17:45:00-04:00,6.4669,6.4669,6.4664,6.4669,0,60,0.0
2021-05-18 17:46:00-04:00,6.4668,6.4669,6.4664,6.4668,0,70,0.0
2021-05-18 17:47:00-04:00,6.4668,6.4669,6.4666,6.4668,0,64,0.0
2021-05-18 17:48:00-04:00,6.4667,6.4674,6.4666,6.4669,0,82,0.0
2021-05-18 17:49:00-04:00,6.4668,6.4675,6.4665,6.4666,0,60,0.0
2021-05-18 17:50:00-04:00,6.4666,6.4672,6.4665,6.4668,0,72,0.0
2021-05-18 17:51:00-04:00,6.4668,6.4677,6.4665,6.4669,0,84,0.0
2021-05-18 17:52:00-04:00,6.4669,6.4675,6.4665,6.4666,0,60,0.0
2021-05-18 17:53:00-04:00,6.4666,6.4673,6.4666,6.4668,0,36,0.0
2021-05-18 17:54:00-04:00,6.4668,6.4674,6.4665,6.4674,0,104,0.0
2021-05-18 17:55:00-04:00,6.4674,6.4678,6.4665,6.4668,0,100,0.0
2021-05-18 17:56:00-04:00,6.4668,6.4674,6.4666,6.467,0,72,0.0
2021-05-18 17:57:00-04:00,6.467,6.4676,6.4667,6.4676,0,28,0.0
2021-05-18 17:58:00-04:00,6.4674,6.4679,6.467,6.467,0,32,0.0
2021-05-18 17:59:00-04:00,6.467,6.468,6.467,6.467,0,78,0.0
2021-05-18 18:00:00-04:00,6.467,6.4673,6.4668,6.4673,0,126,0.0
2021-05-18 18:01:00-04:00,6.4671,6.4673,6.4668,6.4668,0,27,0.0
2021-05-18 18:02:00-04:00,6.4668,6.4672,6.4668,6.4668,0,28,0.0
2021-05-18 18:04:00-04:00,6.467,6.4673,6.4668,6.4671,0,22,0.0
2021-05-18 18:05:00-04:00,6.467,6.4673,6.4668,6.4668,0,10,0.0
2021-05-18 18:06:00-04:00,6.4667,6.4668,6.4667,6.4668,0,6,0.0
2021-05-18 18:09:00-04:00,6.4669,6.467,6.4669,6.467,0,2,0.0
2021-05-18 18:10:00-04:00,6.467,6.4676,6.467,6.467,0,30,0.0
2021-05-18 18:11:00-04:00,6.467,6.467,6.467,6.467,0,14,0.0
2021-05-18 18:12:00-04:00,6.4673,6.4676,6.467,6.467,0,6,0.0
2021-05-18 18:13:00-04:00,6.4673,6.4676,6.4673,6.4676,0,6,0.0
2021-05-18 18:14:00-04:00,6.4674,6.4677,6.467,6.4677,0,18,0.0
2021-05-18 18:15:00-04:00,6.4675,6.468,6.4665,6.4666,0,28,0.0
2021-05-18 18:16:00-04:00,6.4671,6.4677,6.4665,6.4677,0,18,0.0
2021-05-18 18:17:00-04:00,6.4674,6.4677,6.4665,6.4665,0,12,0.0
2021-05-18 18:18:00-04:00,6.4672,6.4678,6.4665,6.4665,0,30,0.0
2021-05-18 18:20:00-04:00,6.4672,6.4678,6.4665,6.4665,0,6,0.0
2021-05-18 18:21:00-04:00,6.4671,6.4676,6.4665,6.4665,0,6,0.0
2021-05-18 18:22:00-04:00,6.4665,6.4665,6.4665,6.4665,0,10,0.0
2021-05-18 18:23:00-04:00,6.4671,6.4677,6.4665,6.4665,0,14,0.0
2021-05-18 18:35:00-04:00,6.4665,6.4677,6.4665,6.4665,0,10,0.0
2021-05-18 18:36:00-04:00,6.4671,6.4677,6.4662,6.4665,0,20,0.0
2021-05-18 18:37:00-04:00,6.4665,6.4665,6.4663,6.4663,0,22,0.0
2021-05-18 18:38:00-04:00,6.4662,6.4669,6.4662,6.4663,0,10,0.0
2021-05-18 18:39:00-04:00,6.4664,6.467,6.4662,6.467,0,24,0.0
2021-05-18 18:40:00-04:00,6.4668,6.4668,6.4662,6.4662,0,4,0.0
2021-05-18 18:41:00-04:00,6.4665,6.4672,6.4661,6.4665,0,28,0.0
2021-05-18 18:42:00-04:00,6.4665,6.4665,6.4662,6.4662,0,6,0.0
2021-05-18 18:43:00-04:00,6.4664,6.4668,6.4662,6.4662,0,6,0.0
2021-05-18 18:44:00-04:00,6.4663,6.4669,6.4662,6.4663,0,16,0.0
2021-05-18 18:45:00-04:00,6.4664,6.4671,6.4662,6.4662,0,34,0.0
2021-05-18 18:46:00-04:00,6.4663,6.4669,6.4662,6.4662,0,22,0.0
2021-05-18 18:47:00-04:00,6.4664,6.4668,6.4661,6.4662,0,8,0.0
2021-05-18 18:48:00-04:00,6.4664,6.4667,6.466,6.466,0,6,0.0
2021-05-18 18:49:00-04:00,6.4664,6.4668,6.4661,6.4661,0,12,0.0
2021-05-18 18:50:00-04:00,6.4664,6.4668,6.4662,6.4662,0,10,0.0
2021-05-18 18:52:00-04:00,6.4665,6.4668,6.466,6.466,0,18,0.0
2021-05-18 18:53:00-04:00,6.466,6.4668,6.466,6.4661,0,10,0.0
2021-05-18 18:54:00-04:00,6.4661,6.4669,6.4661,6.4665,0,20,0.0
2021-05-18 18:55:00-04:00,6.4665,6.4672,6.4665,6.4665,0,8,0.0
2021-05-18 18:56:00-04:00,6.4668,6.4672,6.4665,6.4665,0,6,0.0
2021-05-18 18:57:00-04:00,6.4665,6.4669,6.4662,6.4663,0,12,0.0
2021-05-18 18:58:00-04:00,6.4666,6.4669,6.4662,6.4662,0,10,0.0
2021-05-18 18:59:00-04:00,6.4664,6.467,6.4661,6.4663,0,24,0.0
2021-05-18 19:00:00-04:00,6.4662,6.4674,6.4662,6.4667,0,28,0.0
2021-05-18 19:01:00-04:00,6.4666,6.4666,6.4665,6.4665,0,2,0.0
2021-05-18 19:03:00-04:00,6.4666,6.4669,6.4666,6.4669,0,4,0.0
2021-05-18 19:04:00-04:00,6.4669,6.467,6.4669,6.467,0,2,0.0
2021-05-18 19:12:00-04:00,6.4669,6.4669,6.4665,6.4665,0,6,0.0
2021-05-18 19:14:00-04:00,6.4666,6.4669,6.4666,6.4669,0,4,0.0
2021-05-18 19:15:00-04:00,6.4669,6.467,6.4665,6.4665,0,8,0.0
2021-05-18 19:21:00-04:00,6.4665,6.467,6.4665,6.467,0,6,0.0
2021-05-18 19:25:00-04:00,6.467,6.4675,6.467,6.4675,0,6,0.0
2021-05-18 19:36:00-04:00,6.4675,6.468,6.4675,6.468,0,6,0.0
2021-05-18 19:38:00-04:00,6.468,6.468,6.468,6.468,0,2,0.0
2021-05-18 19:47:00-04:00,6.468,6.4683,6.468,6.4683,0,4,0.0
2021-05-18 19:48:00-04:00,6.4684,6.4685,6.4684,6.4685,0,2,0.0
2021-05-18 19:52:00-04:00,6.4685,6.4685,6.4685,6.4685,0,2,0.0
2021-05-18 19:53:00-04:00,6.4685,6.4685,6.4685,6.4685,0,2,0.0
2021-05-18 19:57:00-04:00,6.4685,6.469,6.4685,6.469,0,8,0.0
2021-05-18 19:58:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:00:00-04:00,6.469,6.469,6.469,6.469,0,4,0.0
2021-05-18 20:01:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:03:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:05:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:06:00-04:00,6.4692,6.4695,6.4692,6.4695,0,4,0.0
2021-05-18 20:08:00-04:00,6.4695,6.4695,6.469,6.469,0,4,0.0
2021-05-18 20:09:00-04:00,6.4692,6.4695,6.469,6.469,0,12,0.0
2021-05-18 20:10:00-04:00,6.4693,6.4695,6.469,6.469,0,12,0.0
2021-05-18 20:11:00-04:00,6.4693,6.4695,6.469,6.469,0,12,0.0
2021-05-18 20:13:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:17:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:18:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:19:00-04:00,6.4693,6.4695,6.4693,6.4695,0,4,0.0
2021-05-18 20:21:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:22:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:23:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:24:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:25:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:27:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:28:00-04:00,6.4695,6.4695,6.4695,6.4695,0,2,0.0
2021-05-18 20:29:00-04:00,6.4695,6.4695,6.4694,6.4695,0,6,0.0
2021-05-18 20:30:00-04:00,6.4695,6.4695,6.4695,6.4695,0,26,0.0
2021-05-18 20:31:00-04:00,6.4695,6.4695,6.4695,6.4695,0,34,0.0
2021-05-18 20:32:00-04:00,6.4695,6.4695,6.4695,6.4695,0,22,0.0
2021-05-18 20:33:00-04:00,6.4695,6.4696,6.4695,6.4695,0,18,0.0
2021-05-18 20:34:00-04:00,6.4695,6.4695,6.4695,6.4695,0,14,0.0
2021-05-18 20:47:00-04:00,6.4692,6.4692,6.469,6.469,0,4,0.0
2021-05-18 20:50:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:51:00-04:00,6.469,6.469,6.469,6.469,0,2,0.0
2021-05-18 20:53:00-04:00,6.4691,6.4691,6.4691,6.4691,0,2,0.0
